release_year
2020
2021
1993
2018
1996
1998
1997
2010
2013
2017
1975
1978
1983
1987
2012
2001
2014
2002
2003
2004
2011
2008
2009
2007
2005
2006
1994
2015
2019
2016
1982
1989
1990
1991
1999
1986
1992
1984
1980
1961
2000
1995
1985
1976
1959
1988
1981
1972
1964
1945
1954
1979
1958
1956
1963
1970
1973
1925
1974
1960
1966
1971
1962
1969
1977
1967
1968
1965
1946
1942
1955
1944
1947
1943
